Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Zambia,ZMB,"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.33,,,,18.33,18.33,18.33,17.77,17.77,17.77,16.99,16.99,16.99,16.99,16.99,17.82,17.82,,17.82,17.82,,17.97,,17.97,17.97,0,,,
Zambia,ZMB,"Tariff rate, applied, simple mean, manufactured products (%)",TM.TAX.MANF.SM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.71,,,,15.14,,,,16.34,13.62,14.61,16.59,14.49,15.89,15.21,11.41,11.22,11.4,10.68,11.1,10.11,,10.5,14.92,,10.51,,11.48,11.45,11.34,,,
Zambia,ZMB,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,81.86166937,82.50780013,75.07952594,74.53789502,83.7547743,77.83644271,83.61585262,81.60284917,77.26819461,78.38458282,82.62618045,107.7870819,70.65734962,68.8917076,75.36977405,71.19252604,63.58328419,62.29880756,52.43624946,63.27820378,67.88464552,58.38139095,57.47694907,50.79721133,50.81781131,63.84146716,69.99462539,74.56127469,54.01088262,56.40010857,76.90712806,56.2957898,48.73051141,49.94645886,41.59367303,45.70547888,52.04017267,40.29476546,60.26442954,55.37139401,49.43576419,50.53192482,49.07185,52.10256745,59.92499519,52.4252048,53.64957043,61.35040038,56.71978215,53.1303375,61.78462534,68.96561932,71.24635123,75.58875412,71.48219727,68.42902285,65.18623476,61.79271234,70.31144133,60.97302571,72.83146546,81.43401736,70.79671594,74.53779261,88.49478711,
Zambia,ZMB,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29000000,40000000,53000000,67000000,80000000,64000000,88000000,92000000,447000000,506000000,599000000,542000000,474000000,492000000,555000000,518000000,552000000,642000000,660000000,683000000,653000000,742000000,819000000,412000000,,,,,
Zambia,ZMB,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,ZMB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,17.22360541,18.1489305,19.09689607,20.07660712,21.30539802,22.8616347,24.59225614,26.35748158,28.01753024,29.42028032,30.65033237,31.91137105,33.18710958,34.44392186,35.64818177,36.76626321,37.76454007,38.60938623,39.26717559,39.70428203,39.8857226,39.88544546,39.86711441,39.83638465,39.79431483,39.74196361,39.68038965,39.61065161,39.53380815,39.45091794,39.36399248,39.25365156,39.09724629,38.89935198,38.66597315,38.40311432,37.98427634,37.37588822,36.72334668,36.17204847,35.8735461,35.88464829,36.07060357,36.38585601,36.80358811,37.29698238,37.83922132,38.40348743,38.96296323,39.4908312,39.95588577,40.36844918,40.76985568,41.16822662,41.56347417,41.95551047,42.34424769,42.72959799,43.11147352,43.48978645,43.86444894,44.23537314,44.59885112,45.02858535,45.47038385,
Zambia,ZMB,Rural population growth (annual %),SP.RUR.TOTL.ZG,,2.008430348,1.981437646,1.941566503,1.606089612,1.168877363,0.927214047,0.841004672,0.950750604,1.21584285,1.16737714,0.921867235,0.922487444,0.978333652,1.080584825,1.244409027,1.443412774,1.670629463,1.948528916,2.276058805,2.691612342,3.062894761,3.243211398,3.274386648,3.147746092,3.087759586,3.087923943,3.004931022,2.872478644,2.777577878,2.705516634,2.66142955,2.671238834,2.708017222,2.768901527,2.841008857,3.131902618,3.531157674,3.65802417,3.547823528,3.277080045,3.006624597,2.787671784,2.609198573,2.518622151,2.518070449,2.576359203,2.615801156,2.654195167,2.670325768,2.690385798,2.635810293,2.567176199,2.527834602,2.498111585,2.446994573,2.422121941,2.396931262,2.336996848,2.294389326,2.238953453,2.152385619,2.109710499,2.015370101,2.004888224,
Zambia,ZMB,"Completeness of birth registration, urban (%)",SP.REG.BRTH.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,27.7,,,,,,,20.4,,,,25.3,,,,,,,
Zambia,ZMB,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.55923607,49.54572511,49.53244394,49.51917362,49.50324516,49.48705163,49.47387226,49.46089542,49.44813709,49.42467637,49.35558035,49.25532214,49.16129532,49.0749024,48.99635455,48.92443759,48.85790643,48.79553507,48.73709443,48.68187881,48.63605415,48.610856,48.61437887,48.62375861,48.61426733,48.59691551,48.58438545,48.56579794,48.5344669,48.49618195,48.45517738,48.41170685,48.36763229,48.32371836,48.28333256,48.25169994,48.23277917,48.23658776,48.2549213,48.28573992,48.337586,48.42153933,48.50823384,48.5883767,48.67128368,48.7656478,48.86970691,48.97544673,49.07785875,49.16831908,49.24077701,49.28634185,49.31870707,49.34883417,49.37869747,49.40357358,49.42925928,49.45572637,49.47467028,49.48732408,49.49389527,49.49518476,49.49083354,49.48979599,49.4968908,
Zambia,ZMB,"Population, total",SP.POP.TOTL,3153729,3254086,3358099,3465907,3577017,3692086,3812003,3936343,4065593,4197116,4321718,4442525,4569309,4702693,4842746,4990086,5143842,5302480,5465374,5631728,5802833,5983289,6178637,6381038,6580490,6780953,6986471,7191282,7391440,7589216,7786169,7981650,8176680,8373921,8576269,8785763,9004053,9237063,9482408,9740005,10017631,10325185,10647949,10983595,11338198,11718819,12129553,12565085,13021324,13490389,13965594,14437796,14913629,15398997,15895315,16399089,16914423,17441320,17973569,18513839,19059395,19603607,20152938,20723965,21314956,
